"id_curso";"nome";"grau_academico";"modalidade_educacao"
"2000002";"ADMINISTRAÇÃO";"BACHARELADO";"Presencial"
"2000004";"ADMINISTRAÇÃO";"BACHARELADO";"Presencial"
"15315770";"ADMINISTRAÇÃO PÚBLICA";"BACHARELADO";"A Distância"
"2576632";"AGRONOMIA";"BACHARELADO";"Presencial"
"94598200";"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS";"TECNOLÓGICO";"Presencial"
"2000005";"ARQUITETURA E URBANISMO";"BACHARELADO";"Presencial"
"2000123";"ARTES VISUAIS";"LICENCIATURA";"Presencial"
"2000006";"BIBLIOTECONOMIA";"BACHARELADO";"Presencial"
"2000122";"BIOMEDICINA";"BACHARELADO";"Presencial"
"2000013";"CIÊNCIA DA COMPUTAÇÃO";"BACHARELADO";"Presencial"
"6633741";"CIÊNCIAS ATUARIAIS";"BACHARELADO";"Presencial"
"2000009";"CIÊNCIAS BIOLÓGICAS";"BACHARELADO";"Presencial"
"111635035";"CIÊNCIAS BIOLÓGICAS";"LICENCIATURA";"Presencial"
"9295710";"CIÊNCIAS BIOLÓGICAS";"LICENCIATURA";"A Distância"
"2000012";"CIÊNCIAS CONTÁBEIS";"BACHARELADO";"Presencial"
"2000011";"CIÊNCIAS CONTÁBEIS";"BACHARELADO";"Presencial"
"2000014";"CIÊNCIAS ECONÔMICAS";"BACHARELADO";"Presencial"
"10320810";"CIÊNCIAS E TECNOLOGIA";"BACHARELADO";"Presencial"
"2000015";"CIÊNCIAS SOCIAIS";"BACHARELADO";"Presencial"
"111635038";"CIÊNCIAS SOCIAIS";"LICENCIATURA";"Presencial"
"2000016";"COMUNICAÇÃO SOCIAL";"BACHARELADO";"Presencial"
"119512361";"COMUNICAÇÃO SOCIAL - AUDIOVISUAL";"BACHARELADO";"Presencial"
"118834827";"COMUNICAÇÃO SOCIAL- PUBLICIDADE E PROPAGANDA";"BACHARELADO";"Presencial"
"7264330";"DANÇA";"LICENCIATURA";"Presencial"
"6992521";"DESIGN";"BACHARELADO";"Presencial"
"2000018";"DIREITO";"BACHARELADO";"Presencial"
"2000019";"DIREITO";"BACHARELADO";"Presencial"
"2000121";"ECOLOGIA";"BACHARELADO";"Presencial"
"85436676";"EDUCAÇÃO FÍSICA";"LICENCIATURA";"Presencial"
"50688664";"EDUCAÇÃO FÍSICA";"LICENCIATURA";"A Distância"
"111635041";"EDUCAÇÃO FÍSICA";"LICENCIATURA";"Presencial"
"2000022";"EDUCAÇÃO FÍSICA";"BACHARELADO";"Presencial"
"13027790";"ENFERMAGEM";"BACHARELADO";"Presencial"
"2000023";"ENFERMAGEM";"BACHARELADO";"Presencial"
"85322571";"ENGENHARIA AMBIENTAL";"BACHARELADO";"Presencial"
"85341136";"ENGENHARIA BIOMÉDICA";"BACHARELADO";"Presencial"
"2000025";"ENGENHARIA CIVIL";"BACHARELADO";"Presencial"
"2000150";"ENGENHARIA DE ALIMENTOS";"BACHARELADO";"Presencial"
"2576623";"ENGENHARIA DE AQUICULTURA";"BACHARELADO";"Presencial"
"2000026";"ENGENHARIA DE COMPUTAÇÃO";"BACHARELADO";"Presencial"
"2000027";"ENGENHARIA DE MATERIAIS";"BACHARELADO";"Presencial"
