"id_componente";"codigo";"nome";"ch_total";"equivalencia";"pre_requisito";"co_requisito"
"18642";"MUT721";"LABORATÓRIOS ELETIVOS";"60";"";"";""
"18643";"MUT508";"COMPOSIÇÃO EM MÚSICA POPULAR III";"60";"";"";""
"18644";"MUT516";"CO-REPETIÇÃO";"30";"";"";""
"18645";"MUT520";"CONTRABAIXO ACÚSTICO I";"30";"";"";""
"18646";"MUT165";"PIANO COMPLEMENTAR I";"15";"";"";""
"18647";"MUT167";"PIANO COMPLEMENTAR III";"15";"";"";""
"18648";"MUT169";"PIANO COMPLEMENTAR V";"15";"";"";""
"18649";"MUT526";"EDIÇÃO DE ÁUDIO III";"60";"";"";""
"18650";"MUT506";"COMPOSIÇÃO EM MÚSICA POPULAR I";"60";"";"";""
"18651";"MUT101";"CANTO I";"45";"";"";""
"18652";"MUT102";"CANTO II";"45";"";"( MUT101 ) ";""
"18653";"MUT103";"CANTO III";"45";"";"( MUT102 ) ";""
"18654";"MUT104";"CANTO IV";"45";"";"( MUT103 ) ";""
"18655";"MUT105";"FLAUTA DOCE I";"45";"";"";""
"18656";"MUT106";"FLAUTA DOCE II";"45";"";"";""
"18657";"MUT107";"FLAUTA DOCE III";"45";"";"";""
"18658";"MUT108";"FLAUTA DOCE IV";"45";"";"";""
"18659";"MUT109";"FLAUTA TRANSVERSAL I";"45";"";"";""
"18660";"MUT110";"FLAUTA TRANSVERSAL II";"45";"";"";""
"18661";"MUT111";"FLAUTA TRANSVERSAL III";"45";"";"";""
"18662";"MUT112";"FLAUTA TRANSVERSAL IV";"45";"";"";""
"18663";"MUT113";"OBOÉ I";"45";"";"";""
"18664";"MUT114";"OBOÉ II";"45";"";"";""
"18665";"MUT115";"OBOÉ III";"45";"";"";""
"18666";"MUT116";"OBOÉ IV";"45";"";"";""
"18667";"MUT117";"CLARINETE I";"45";"";"";""
"18668";"MUT118";"CLARINETE II";"45";"";"";""
"18669";"MUT119";"CLARINETE III";"45";"";"";""
"18670";"MUT120";"CLARINETE IV";"45";"";"";""
"18671";"MUT121";"SAXOFONE I";"45";"";"";""
"18672";"MUT122";"SAXOFONE II";"45";"";"";""
"18673";"MUT123";"SAXOFONE III";"45";"";"";""
"18674";"MUT124";"SAXOFONE IV";"45";"";"";""
"18675";"MUT125";"TROMPETE I";"45";"";"";""
"18676";"MUT126";"TROMPETE II";"45";"";"";""
"18677";"MUT127";"TROMPETE III";"45";"";"";""
"18678";"MUT128";"TROMPETE IV";"45";"";"";""
"18679";"MUT129";"PERCUSSÃO I";"45";"";"";""
"18680";"MUT130";"PERCUSSÃO II";"45";"";"";""
"18681";"MUT131";"PERCUSSÃO III";"45";"";"";""
"18682";"MUT132";"PERCUSSÃO IV";"45";"";"";""
"18683";"MUT133";"PIANO I";"45";"";"";""
"18684";"MUT134";"PIANO II";"45";"";"";""
"18685";"MUT135";"PIANO III";"45";"";"";""
"18686";"MUT136";"PIANO IV";"45";"";"";""
"18687";"MUT137";"VIOLÃO I";"45";"";"";""
"18688";"MUT138";"VIOLÃO II";"45";"";"";""
"18689";"MUT139";"VIOLÃO III";"45";"";"";""
"18690";"MUT140";"VIOLÃO IV";"45";"";"";""
"18691";"MUT141";"VIOLINO I";"45";"";"";""
"18692";"MUT142";"VIOLINO II";"45";"";"";""
"18693";"MUT143";"VIOLINO III";"45";"";"";""
"18694";"MUT144";"VIOLINO IV";"45";"";"";""
"18695";"MUT145";"VIOLA I";"45";"";"";""
"18696";"MUT146";"VIOLA II";"45";"";"";""
"18697";"MUT147";"VIOLA III";"45";"";"";""
"18698";"MUT148";"VIOLA IV";"45";"";"";""
"18699";"MUT149";"VIOLONCELO I";"45";"";"";""
"18700";"MUT151";"VIOLONCELO III";"45";"";"";""
"18701";"MUT152";"VIOLONCELO IV";"45";"";"";""
"18702";"MUT153";"TROMBONE I";"45";"";"";""
"18703";"MUT154";"TROMBONE II";"45";"";"";""
"18704";"MUT155";"TROMBONE III";"45";"";"";""
"18705";"MUT156";"TROMBONE IV";"45";"";"";""
"18706";"MUT157";"GUITARRA ELÉTRICA I";"45";"";"";""
"18707";"MUT158";"GUITARRA ELÉTRICA II";"45";"";"";""
"18708";"MUT159";"GUITARRA ELÉTRICA III";"45";"";"";""
"18709";"MUT160";"GUITARRA ELÉTRICA IV";"45";"";"";""
"18710";"MUT161";"REGENCIA I";"45";"";"";""
"18711";"MUT162";"REGENCIA II";"45";"";"( MUT161 ) ";""
"18712";"MUT163";"REGÊNCIA III";"45";"";"( MUT162 ) ";""
"18713";"MUT164";"REGÊNCIA IV";"45";"";"( MUT163 ) ";""
"18714";"MUT724";"LABORATÓRIOS ELETIVOS IV";"60";"";"";""
"18715";"MUT800";"INSTRUMENTO I";"45";"( MUT0007 ) OU ( MUT117 ) OU ( MUT520 ) OU ( MUT500 ) OU ( MUT105 ) OU ( MUT109 ) OU ( MUT157 ) OU ( MUT113 ) OU ( MUT129 ) OU ( MUT133 ) OU ( MUT121 ) OU ( MUT153 ) OU ( MUT125 ) OU ( MUT210 ) OU ( MUT145 ) OU ( MUT137 ) OU ( MUT141 ) OU ( MUT149 ) ";"";""
"18716";"MUT804";"INSTRUMENTO V";"45";"( MUT417 ) OU ( MUT524 ) OU ( MUT504 ) OU ( MUT410 ) OU ( MUT423 ) OU ( MUT450 ) OU ( MUT466 ) OU ( MUT421 ) OU ( MUT407 ) OU ( MUT409 ) OU ( MUT470 ) OU ( MUT412 ) OU ( MUT214 ) OU ( MUT419 ) OU ( MUT411 ) OU ( MUT478 ) OU ( MUT480 ) ";"( MUT803 ) ";""
"18717";"MUT209";"PIANO COMPLEMENTAR";"15";"";"";""
