"id_curriculo";"nome_matriz";"id_curso"
"110541959";"PSICOLOGIA - SANTA CRUZ - MT - BACHARELADO";"102160763"
"95617859";"GESTÃO PÚBLICA - CAICÓ - I - TECNOLÓGICO";"92017023"
"98672530";"";"98199604"
"140061";"";"315785"
"106797125";"";"106146377"
"84763119";"";"84739892"
"11431031";"";"97472250"
"121644898";"";"88211810"
"119466854";"";"315756"
"119342519";"";"119342264"
"51333655";"ARTES VISUAIS - NATAL - MT - LICENCIATURA";"2000123"
"140013";"";"315768"
"90774212";"";"315781"
"126121649";"";"5036031"
"124868739";"";"123079207"
"122836042";"";"315734"
"121876517";"";"121875454"
"122541685";"";"100181629"
"104128179";"GESTÃO DE POLÍTICAS PÚBLICAS - NATAL - N - BACHARELADO";"10426760"
"121631446";"ADMINISTRAÇÃO - CURRAIS NOVOS - TN - BACHARELADO";"2000004"
"121627123";"";"121508460"
"101658777";"TECNOLOGIA DA INFORMAÇÃO - NATAL - MT - BACHARELADO";"92127264"
"101669382";"TECNOLOGIA DA INFORMAÇÃO - NATAL - N - BACHARELADO";"92127264"
"119114118";"MEDICINA - NATAL - MTN - FORMAÇÃO";"2000056"
"98672348";"";"98200045"
"51491429";"";"315747"
"8917690";"ZOOTECNIA - MACAÍBA - MT - FORMAÇÃO";"6358080"
"506167920";"QUÍMICA - NATAL - M - LICENCIATURA";"111635075"
"140085";"";"315767"
"126820854";"";"117522695"
"140093";"";"315732"
"123438351";"";"11519550"
"123162438";"";"315782"
"20849290";"";"2060661"
"140057";"";"315752"
"20395570";"";"315737"
"509855090";"";"50839645"
"97802598";"";"96146345"
"21988940";"";"315769"
"139997";"";"315781"
"121323873";"AGRONOMIA - MACAÍBA - MTN - FORMAÇÃO";"2576632"
"15403280";"";"9300591"
"115271549";"ENGENHARIA DE MATERIAIS - NATAL - N - FORMAÇÃO";"2000027"
"122284140";"";"121508483"
"101659860";"TECNOLOGIA DA INFORMAÇÃO - NATAL - N - BACHARELADO";"92127264"
"120480419";"BIOMEDICINA - NATAL - MT - BACHARELADO";"2000122"
"126769396";"";"110378615"
"101668583";"TECNOLOGIA DA INFORMAÇÃO - NATAL - MT - BACHARELADO";"92127264"
"140094";"";"315732"
"140029";"";"315738"
"139977";"";"315730"
"140063";"";"315760"
"139971";"";"315727"
"140088";"";"315736"
"95726224";"";"95726200"
"139956";"";"315768"
"101637277";"CIÊNCIAS ATUARIAIS - NATAL - N - BACHARELADO";"6633741"
"124712741";"";"507421"
