"id_curriculo_componente";"id_curriculo";"id_componente_curricular";"tipo_vinculo_componente"
"129366";"100579";"23161";"OPTATIVO"
"121276";"100302";"25440";"OPTATIVO"
"19001074";"18999000";"25603";"OBRIGATÓRIO"
"116106239";"107405556";"41803";"OPTATIVO"
"127478";"100200";"22865";"OPTATIVO"
"13472483";"8601560";"26589";"OBRIGATÓRIO"
"135858";"100513";"24485";"OBRIGATÓRIO"
"146555";"9051720";"2041610";"OBRIGATÓRIO"
"121924";"100478";"22237";"OBRIGATÓRIO"
"122720";"100763";"25387";"OPTATIVO"
"51026149";"510260940";"23179";"OPTATIVO"
"125889";"100199";"23495";"OBRIGATÓRIO"
"101604";"100489";"20052";"OBRIGATÓRIO"
"110402221";"110402202";"50425";"OPTATIVO"
"133451";"100219";"23500";"OBRIGATÓRIO"
"101848";"100407";"24872";"OBRIGATÓRIO"
"10630312";"8917690";"2041408";"OPTATIVO"
"24863083";"100757";"41703";"OPTATIVO"
"98189526";"98189470";"52854";"OBRIGATÓRIO"
"124606";"100296";"22537";"OPTATIVO"
"92580757";"90472097";"41942";"OPTATIVO"
"89385060";"507685510";"25475";"OPTATIVO"
"111304153";"96081110";"26924";"OPTATIVO"
"108233417";"108233338";"27645";"OPTATIVO"
"120743";"100538";"22199";"OPTATIVO"
"117906";"100301";"24082";"OBRIGATÓRIO"
"119527977";"119527905";"2038901";"OBRIGATÓRIO"
"133367";"100702";"27817";"OPTATIVO"
"125039";"100436";"25399";"OPTATIVO"
"114775";"100620";"26996";"OPTATIVO"
"7257697";"7256410";"2034866";"OBRIGATÓRIO"
"115496785";"508409070";"60707";"OBRIGATÓRIO"
"98189308";"98189301";"52893";"OPTATIVO"
"123540143";"101658777";"25561";"OPTATIVO"
"115306331";"115306301";"57591";"OBRIGATÓRIO"
"123562";"100690";"22345";"OPTATIVO"
"125927";"100405";"22755";"OBRIGATÓRIO"
"138551";"100706";"22804";"OBRIGATÓRIO"
"8962196";"8962150";"21788";"OPTATIVO"
"21335151";"18999000";"25281";"OPTATIVO"
"86145895";"100811";"41922";"OPTATIVO"
"138681";"100719";"24248";"OBRIGATÓRIO"
"146697";"5848060";"2020606";"OBRIGATÓRIO"
"86543009";"85787838";"2051001";"OBRIGATÓRIO"
"85870622";"10336005";"43510";"OPTATIVO"
"9051806";"20503690";"2020510";"OPTATIVO"
"138533";"100558";"28364";"OPTATIVO"
"113372597";"107405230";"46937";"OPTATIVO"
"119671";"100533";"22048";"OBRIGATÓRIO"
"108233350";"108233338";"27537";"OPTATIVO"
"110869";"100633";"26705";"OPTATIVO"
"105764040";"101669382";"2054931";"OPTATIVO"
"135992";"100583";"24016";"OBRIGATÓRIO"
"96348490";"96335318";"52682";"OPTATIVO"
"24992787";"24798170";"41730";"OPTATIVO"
"25006286";"100573";"41702";"OPTATIVO"
"110792";"100249";"25600";"OPTATIVO"
"119582";"100337";"22182";"OBRIGATÓRIO"
"120480472";"120480419";"2048487";"OBRIGATÓRIO"
"19968323";"19968300";"28394";"OBRIGATÓRIO"
"128453";"100358";"25639";"OBRIGATÓRIO"
"136868";"100490";"21143";"OBRIGATÓRIO"
"115271594";"115271549";"57591";"OBRIGATÓRIO"
