id_turma;num_reprovados;num_aprovados;media_aprovados;codigo_turma;id_docente_interno;id_docente_externo;id_componente_curricular;ano;periodo
57593168;15;68;8.0;01;26652.0;;61150;2017;1
57593169;24;42;7.6;02;21707.0;;61150;2017;1
57593173;22;16;7.6;01;5752917.0;;18773;2017;1
57593174;0;4;9.0;01;23400.0;;18653;2017;1
57593175;0;4;8.45;02;35466.0;;18653;2017;1
57593176;0;2;9.8;03;23400.0;;18653;2017;1
57593177;0;8;10.0;04;22886.0;;18653;2017;1
57593178;0;4;8.5;01;22886.0;;18732;2017;1
57593179;0;4;10.0;02;22886.0;;18732;2017;1
57593180;2;0;;03;23400.0;;18732;2017;1
57593183;19;36;9.0;01;5752921.0;;2056053;2017;1
57593185;0;10;9.1;01;22880.0;;18820;2017;1
57593187;0;10;9.0;01;22880.0;;2055503;2017;1
57593188;0;10;8.6;01;22880.0;;43327;2017;1
57593190;7;52;7.8999999999999995;01;21705.0;;18720;2017;1
57593191;9;10;7.7;01;5752179.0;;18760;2017;1
57593192;19;16;7.45;02;5752179.0;;18760;2017;1
57593193;1;0;;01;21709.0;;18724;2017;1
57593199;14;26;9.0;01;5752179.0;;18721;2017;1
57593200;2;12;8.85;01;23594.0;;18825;2017;1
57593201;0;14;9.1;02;23594.0;;18825;2017;1
57593202;12;42;7.7;01;21709.0;;18722;2017;1
57593203;12;50;8.1;02;21709.0;;18722;2017;1
57593210;0;6;8.4;01;5752878.0;;18812;2017;1
57593211;0;4;7.05;02;5758240.0;;18812;2017;1
57593212;2;4;7.35;03;5758240.0;;18812;2017;1
57593215;0;4;9.65;06;63717.0;;18812;2017;1
57593216;0;4;9.35;07;63717.0;;18812;2017;1
57593217;0;4;8.45;08;63717.0;;18812;2017;1
57593219;0;4;9.0;09;21708.0;;18812;2017;1
57593220;0;4;7.75;10;24189.0;;18812;2017;1
57593221;0;4;9.100000000000001;11;5751599.0;;18812;2017;1
57593222;0;4;8.75;12;5756964.0;;18812;2017;1
57593223;0;2;8.5;13;22889.0;;18812;2017;1
57593224;1;0;;14;23014.0;;18812;2017;1
57593225;1;4;8.399999999999999;15;22886.0;;18812;2017;1
57593226;2;2;8.0;16;5752936.0;;18812;2017;1
57593227;2;0;;17;5754083.0;;18812;2017;1
57593228;0;6;7.0;18;5754083.0;;18812;2017;1
57593229;0;4;8.0;19;24200.0;;18812;2017;1
57593230;0;6;9.0;20;5759159.0;;18812;2017;1
57593231;2;6;8.0;21;5759159.0;;18812;2017;1
57593232;0;6;9.0;22;5757838.0;;18812;2017;1
57593233;0;2;7.5;23;5752924.0;;18812;2017;1
57593234;0;8;8.0;24;20909.0;;18812;2017;1
57593235;0;2;8.0;25;21705.0;;18812;2017;1
57593236;1;4;9.3;26;22876.0;;18812;2017;1
57593238;1;2;9.0;28;5757980.0;;18812;2017;1
57593240;0;4;10.0;30;3031587.0;;18812;2017;1
57593241;2;0;;31;5753753.0;;18812;2017;1
57593243;0;2;10.0;33;5753085.0;;18812;2017;1
57593244;0;4;8.5;34;5752855.0;;18812;2017;1
57593246;0;2;9.0;36;5757838.0;;18812;2017;1
57593247;0;2;8.0;01;22889.0;;18799;2017;1
57593249;0;2;10.0;01;5758240.0;;18716;2017;1
57593250;0;2;10.0;02;23477.0;;18716;2017;1
57593251;0;2;8.0;03;21705.0;;18716;2017;1
57593252;0;4;8.0;04;5754083.0;;18716;2017;1
57593253;0;6;9.0;05;5754083.0;;18716;2017;1
57593255;0;2;7.3;07;63717.0;;18716;2017;1
57593277;0;2;9.3;08;5752878.0;;18716;2017;1
57593278;0;2;7.0;09;5752921.0;;18716;2017;1
